================================================================
FLIGHT 1 of 1990  -  BKP211_VTBS_VTPO_2026-07-08 23:52
================================================================

ROUTE: SEMBO A464 BEKOD DCT KIMET
DEP: VTBS
DEST: VTPO
ACTYPE: AT76
FL: F160
ATD: 2026-07-08 23:52:00

---

Timestamp,UTC,Callsign,Lat,Lon,Altitude,Speed,Direction
1783529520,2026-07-08T23:52:00Z,BKP211,13.685833,100.748889,8,300,339
1783529698,2026-07-08T23:54:58Z,BKP211,13.917131,100.656369,5339,300,339
1783529877,2026-07-08T23:57:57Z,BKP211,14.148428,100.563849,10669,300,339
1783529994,2026-07-08T23:59:54Z,BKP211,14.379725,100.471330,16000,460,339
1783530110,2026-07-09T00:01:50Z,BKP211,14.611022,100.378810,16000,460,339
1783530227,2026-07-09T00:03:47Z,BKP211,14.842320,100.286290,16000,460,341
1783530343,2026-07-09T00:05:43Z,BKP211,15.077241,100.203951,16000,460,342
1783530460,2026-07-09T00:07:40Z,BKP211,15.313360,100.124975,16000,460,342
1783530576,2026-07-09T00:09:36Z,BKP211,15.549479,100.045999,16000,460,342
1783530693,2026-07-09T00:11:33Z,BKP211,15.785598,99.967024,16000,460,342
1783530809,2026-07-09T00:13:29Z,BKP211,16.021716,99.888048,16000,460,342
1783530926,2026-07-09T00:15:26Z,BKP211,16.257835,99.809073,16000,460,350
1783531043,2026-07-09T00:17:23Z,BKP211,16.500623,99.765734,16000,460,356
1783531227,2026-07-09T00:20:27Z,BKP211,16.748050,99.747194,10728,290,6
1783531412,2026-07-09T00:23:32Z,BKP211,16.993268,99.772902,5456,290,10
1783531597,2026-07-09T00:26:37Z,BKP211,17.237500,99.818333,184,290,10


================================================================
FLIGHT 2 of 1990  -  KMI262_VTCC_OMAA_2026-07-08 23:59
================================================================

ROUTE: LAMUN R207 SISUK
DEP: VTCC
DEST: OMAA
ACTYPE: B763
FL: F320
ATD: 2026-07-08 23:59:00

---

Timestamp,UTC,Callsign,Lat,Lon,Altitude,Speed,Direction
1783529940,2026-07-08T23:59:00Z,KMI262,18.771389,98.962778,1036,300,320
1783530004,2026-07-09T00:00:04Z,KMI262,18.839713,98.901333,11357,300,320
1783530069,2026-07-09T00:01:09Z,KMI262,18.908037,98.839889,21679,300,320
1783530111,2026-07-09T00:01:51Z,KMI262,18.976362,98.778444,32000,460,320
1783530153,2026-07-09T00:02:33Z,KMI262,19.044686,98.717000,32000,460,320
1783530195,2026-07-09T00:03:15Z,KMI262,19.113189,98.655707,32000,460,320
1783530237,2026-07-09T00:03:57Z,KMI262,19.181984,98.594661,32000,460,320
1783530280,2026-07-09T00:04:40Z,KMI262,19.250779,98.533616,32000,460,320
1783530322,2026-07-09T00:05:22Z,KMI262,19.319574,98.472570,32000,460,320
1783530364,2026-07-09T00:06:04Z,KMI262,19.388369,98.411524,32000,460,320
1783530406,2026-07-09T00:06:46Z,KMI262,19.457164,98.350479,32000,460,320
1783530448,2026-07-09T00:07:28Z,KMI262,19.525959,98.289433,32000,460,320
1783530490,2026-07-09T00:08:10Z,KMI262,19.594754,98.228387,32000,460,320
1783530532,2026-07-09T00:08:52Z,KMI262,19.663549,98.167341,32000,460,320
1783530575,2026-07-09T00:09:35Z,KMI262,19.732344,98.106296,32000,460,320
1783530617,2026-07-09T00:10:17Z,KMI262,19.801139,98.045250,32000,460,320


================================================================
FLIGHT 3 of 1990  -  TLM782_VTBD_VTSF_2026-07-09 00:01
================================================================

ROUTE: KASNI M757 LOSDA Y94 DOXAS
DEP: VTBD
DEST: VTSF
ACTYPE: B738
FL: F310
ATD: 2026-07-09 00:01:00

---

Timestamp,UTC,Callsign,Lat,Lon,Altitude,Speed,Direction
1783530060,2026-07-09T00:01:00Z,TLM782,13.914372,100.605692,9,300,175
1783530335,2026-07-09T00:05:35Z,TLM782,13.533223,100.638884,10339,300,175
1783530611,2026-07-09T00:10:11Z,TLM782,13.152073,100.672076,20670,300,180
1783530790,2026-07-09T00:13:10Z,TLM782,12.769910,100.670522,31000,460,181
1783530970,2026-07-09T00:16:10Z,TLM782,12.387511,100.660949,31000,460,181
1783531150,2026-07-09T00:19:10Z,TLM782,12.005113,100.651375,31000,460,181
1783531330,2026-07-09T00:22:10Z,TLM782,11.622715,100.641802,31000,460,181
1783531509,2026-07-09T00:25:09Z,TLM782,11.240317,100.632229,31000,460,181
1783531689,2026-07-09T00:28:09Z,TLM782,10.857919,100.622655,31000,460,181
1783531869,2026-07-09T00:31:09Z,TLM782,10.475521,100.613082,31000,460,181
1783532049,2026-07-09T00:34:09Z,TLM782,10.093123,100.603509,31000,460,181
1783532228,2026-07-09T00:37:08Z,TLM782,9.710725,100.593935,31000,460,181
1783532408,2026-07-09T00:40:08Z,TLM782,9.328327,100.584362,31000,460,181
1783532693,2026-07-09T00:44:53Z,TLM782,8.945929,100.574789,20671,290,234
1783532978,2026-07-09T00:49:38Z,TLM782,8.731338,100.279541,10342,290,240
1783533263,2026-07-09T00:54:23Z,TLM782,8.539617,99.944725,13,290,240


================================================================
FLIGHT 4 of 1990  -  CBY05_VTBD_VTBP_2026-07-09 00:02
================================================================

ROUTE: MOTNA G458 UKERA
DEP: VTBD
DEST: VTBP
ACTYPE: AT76
FL: F140
ATD: 2026-07-09 00:02:00

---

Timestamp,UTC,Callsign,Lat,Lon,Altitude,Speed,Direction
1783530120,2026-07-09T00:02:00Z,CBY05,13.914372,100.605692,9,300,196
1783530229,2026-07-09T00:03:49Z,CBY05,13.768041,100.561348,4673,300,196
1783530339,2026-07-09T00:05:39Z,CBY05,13.621710,100.517004,9336,300,196
1783530411,2026-07-09T00:06:51Z,CBY05,13.475379,100.472660,14000,460,196
1783530483,2026-07-09T00:08:03Z,CBY05,13.329049,100.428316,14000,460,196
1783530554,2026-07-09T00:09:14Z,CBY05,13.182732,100.383926,14000,460,197
1783530626,2026-07-09T00:10:26Z,CBY05,13.037028,100.337627,14000,460,197
1783530698,2026-07-09T00:11:38Z,CBY05,12.891323,100.291328,14000,460,197
1783530769,2026-07-09T00:12:49Z,CBY05,12.745619,100.245028,14000,460,197
1783530841,2026-07-09T00:14:01Z,CBY05,12.599915,100.198729,14000,460,197
